,type,text,likes,retweets,num_comments,url
12,nr,"China\xe2\x80\x99s top leader, Xi Jinping, told officials at a Communist Party meeting on Sunday that the coronavirus epidemic was \xe2\x80\x9ca crisis and a big test\xe2\x80\x9d for the country.\n\nLatest updates:\n  https://nyti.ms/2T6Srcu\xc2\xa0",314,138,45,twitter.com/nytimes/status/1231619748934410242
13,nr,"To contain the coronavirus in South Korea, President Moon Jae-in empowered the government to lock down cities, bar visitors from China and unilaterally restrict the movement of people by raising the country\xe2\x80\x99s alert level to the highest in a decade\n https://nyti.ms/2PjWfpD\xc2\xa0",483,248,36,twitter.com/nytimes/status/1231607151656886272
14,nr,The last days of Milan Fashion Week took place as cases of the coronavirus crept closer and news reports came that at least two people had died in nearby cities  https://nyti.ms/2Pf2Ql1\xc2\xa0,109,35,3,twitter.com/nytimes/status/1231594614156615680
15,nr,"Pakistan and Turkey temporarily closed their borders with Iran on Sunday, as Tehran announced that it would close schools, universities and cultural centers across 14 provinces in an effort to curb the coronavirus.\n\nLatest updates:  https://nyti.ms/2STjrgs\xc2\xa0",537,311,30,twitter.com/nytimes/status/1231592065219354625
16,nr,"In temples, mosques and churches, China\xe2\x80\x99s religious believers have jumped into the national battle against the coronavirus. But not all the efforts have been well received.  https://nyti.ms/2unzcD3\xc2\xa0",193,73,24,twitter.com/nytimes/status/1231589549094117377
17,nr,"\xe2\x80\x94With more than 600 coronavirus cases in South Korea, President Moon Jae-in empowered the government to limit travel\n\xe2\x80\x94Iran, saying 8 have died, closed schools across 14 provinces\n\xe2\x80\x94Cases rise to 132 in Italy as several towns are on lockdown\n\nLive updates:\n https://nyti.ms/38TSCym\xc2\xa0",3454,2443,201,twitter.com/nytimes/status/1231564376123072514
18,nr,"Local health departments around the U.S. are scrambling to monitor thousands returning from travel in China and elsewhere for the coronavirus. It means checking in daily by email, phone or text, and in some cases, arranging groceries and isolated housing.\n https://nyti.ms/2Vdrx5b\xc2\xa0",116,64,8,twitter.com/nytimes/status/1231365580093116417
19,nr,"President Trump was infuriated that 14 American citizens who had tested positive for coronavirus were permitted to return this week to the U.S., 2 senior administration officials said  https://nyti.ms/2VkGkuS\xc2\xa0",742,327,255,twitter.com/nytimes/status/1231320271698694145
20,nr,"\xe2\x80\x94As of Saturday, the coronavirus had spread to 26 countries, and 1,200 cases had been confirmed outside China\n\xe2\x80\x94Dozens of passengers from the contaminated cruise ship Diamond Princess have arrived in Britain on a repatriation flight\n\nLatest updates:\n https://nyti.ms/38PAmGl\xc2\xa0",157,100,15,twitter.com/nytimes/status/1231269949613727744
21,nr,A delayed coronavirus quarantine and slapdash containment measures helped turn the Diamond Princess cruise ship into an epidemiological disaster  https://nyti.ms/2T90oh4\xc2\xa0,118,87,13,twitter.com/nytimes/status/1231217094290739200
22,nr,"\xe2\x80\x9cEverything looked like the movie \xe2\x80\x98Contagion.\xe2\x80\x99\xe2\x80\x9d A woman returning from Wuhan, China, gave us a look at life inside a U.S. coronavirus quarantine.\n https://nyti.ms/37KksvC\xc2\xa0",252,109,16,twitter.com/nytimes/status/1231196948574691328
23,nr,"Thousands of planes criss-cross China every day, but that number has fallen sharply as flights are canceled to help combat the coronavirus  https://nyti.ms/37KG23j\xc2\xa0",303,175,22,twitter.com/nytimes/status/1231186903900327940
24,nr,Here are answers from health and travel experts to readers\xe2\x80\x99 common questions about the coronavirus and travel\n https://nyti.ms/38PCRZh\xc2\xa0,135,55,11,twitter.com/nytimes/status/1231126511308222465
25,nr,Here\xe2\x80\x99s a timeline of what we know so far about the coronavirus outbreak  https://nyti.ms/2HX7FvD\xc2\xa0,272,117,22,twitter.com/nytimes/status/1231091249114804224
26,nr,"\xe2\x80\x94New cases of the coronavirus spike in Iran and South Korea\n\xe2\x80\x94Clusters of the virus are found in China\xe2\x80\x99s prisons \n\xe2\x80\x94Coronavirus cases in the U.S. reach 34, and more are expected\n\nLatest updates:\n https://nyti.ms/2wuALQf\xc2\xa0",405,282,29,twitter.com/nytimes/status/1231050998111723520
27,nr,"Breaking News: The number of U.S. coronavirus cases increased to at least 34, federal health officials said on Friday. More are expected among the passengers from a cruise ship who are now in quarantine.  https://nyti.ms/2HKgJ6Y\xc2\xa0",674,468,65,twitter.com/nytimes/status/1230918638040965120
28,nr,"At least 500 prisoners and guards across China, in at least 4 different prisons across 3 provinces, had been infected with the coronavirus, Chinese officials said on Friday. Total infections have surpassed 75,000.  https://nyti.ms/38M92sA\xc2\xa0",227,132,24,twitter.com/nytimes/status/1230910083128754178
29,nr,"The coronavirus outbreak has shown dangerous signs of breaking out beyond China, as new cases were reported in the Middle East and large clusters emerged around Asia  https://nyti.ms/37P9LrC\xc2\xa0",189,125,22,twitter.com/nytimes/status/1230900031177265159
30,nr,"Thousands of planes criss-cross China every day, but that number has fallen sharply as flights are canceled to help combat the coronavirus  https://nyti.ms/32dMazX\xc2\xa0",535,275,33,twitter.com/nytimes/status/1230871490205229063
31,nr,"As South Korea's coronavirus infection numbers soar, most cases have been connected to the Shincheonji Church of Jesus, which mainstream churches consider a cult  https://nyti.ms/2SL4uxa\xc2\xa0",465,226,28,twitter.com/nytimes/status/1230864783156617216
32,nr,Chinese officials in the province hardest hit by the coronavirus acknowledged that their methods of confirming and reporting infection numbers had sown confusion  https://nyti.ms/2SKjwTQ\xc2\xa0,162,83,11,twitter.com/nytimes/status/1230846981188153344
33,nr,"South Korea reported a second death from the coronavirus an a surge in confirmed cases in the country, many connected to a single church  https://nyti.ms/2VbXRp6\xc2\xa0",192,113,49,twitter.com/nytimes/status/1230827431923200001
34,nr,Would-be travelers have questions about the safety of taking trips during the coronavirus outbreak. We talked to health and travel experts for the answers.  https://nyti.ms/2HFGJjx\xc2\xa0,155,60,47,twitter.com/nytimes/status/1230799329402683392
35,nr,\xe2\x80\x9cEverything looked like the movie \xe2\x80\x98Contagion.\xe2\x80\x99\xe2\x80\x9d A woman returning from Wuhan gave us a look at life inside a U.S. coronavirus quarantine.  https://nyti.ms/38LfMXD\xc2\xa0,228,96,40,twitter.com/nytimes/status/1230774179206717442
36,nr,As public health officials look for clues to one of the biggest uncertainties about the coronavirus epidemic \xe2\x80\x94 whether it will eventually expand rapidly beyond China \xe2\x80\x94 they are closely studying clusters of cases that have emerged recently in Japan  https://nyti.ms/37NwKDo\xc2\xa0,206,138,20,twitter.com/nytimes/status/1230769130023739397
37,nr,"Among the 52 new cases of the coronavirus in South Korea reported on Friday, 41 are in Daegu. Among those, 39 of the new cases were connected to a church called Shincheonji. \n\nLatest updates:  https://nyti.ms/38NEc2K\xc2\xa0",173,114,12,twitter.com/nytimes/status/1230754034274824194
38,nr,"South Korea said on Friday that the number of confirmed cases of the coronavirus infection rose to 156, a near tripling over three days.\n\nLatest updates:\n https://nyti.ms/38MQXL6\xc2\xa0",303,232,19,twitter.com/nytimes/status/1230720288175714305
39,nr,"\xe2\x80\x94South Korea confirms a coronavirus death and a jump in cases linked to a church\n\xe2\x80\x94Another 118 deaths were reported in China, raising the toll to 2,236 \n\xe2\x80\x94""Clusters"" in Japan may offer clues on how coronavirus spreads\n\nLatest updates: \n https://nyti.ms/2v6LBf5\xc2\xa0",405,266,18,twitter.com/nytimes/status/1230696166100291584
40,nr,"\xe2\x80\x9cEverything looked like the movie \xe2\x80\x98Contagion.\xe2\x80\x99\xe2\x80\x9d A woman returning from Wuhan, China, gave us a look at life inside a U.S. coronavirus quarantine.\n https://nyti.ms/32fayBi\xc2\xa0",229,118,9,twitter.com/nytimes/status/1230653396006428672
41,nr,"The first clinical trials for possible drug therapies for the coronavirus are beginning in China, WHO officials said on Thursday. Early results may be available within 3 weeks.\n https://nyti.ms/2T4w8nw\xc2\xa0",146,56,9,twitter.com/nytimes/status/1230613129907838977
42,nr,When it comes to fighting off infections \xe2\x80\x94 whether coronavirus or the SARS and MERS outbreaks before it \xe2\x80\x94 men are more at risk. This is why. \n https://nyti.ms/2v5JdoG\xc2\xa0,167,98,27,twitter.com/nytimes/status/1230605576226430985
43,nr,"As millions in China are barricaded in their homes during the coronavirus outbreak, delivery drivers have been keeping fresh food and supplies flowing to those who need them. The drivers doing the dangerous work are being heralded as heroes.\n https://nyti.ms/3bSOCA1\xc2\xa0",432,90,17,twitter.com/nytimes/status/1230575377296379905
44,nr,"Some Chinese business leaders are taking an unusual public stand against the government, saying that efforts to stop the coronavirus outbreak are hurting the lives and livelihoods of millions while contributing little to the containment effort  https://nyti.ms/2SK41v6\xc2\xa0",213,82,20,twitter.com/nytimes/status/1230557756030996480
45,nr,Here are answers from health and travel experts to readers\xe2\x80\x99 common questions about the coronavirus and travel\n https://nyti.ms/39QMLde\xc2\xa0,104,45,6,twitter.com/nytimes/status/1230552745461133312
46,nr,"China is battling the coronavirus outbreak with grass-roots mobilization, essentially entrusting front line epidemic prevention to a supercharged version of a neighborhood watch  https://nyti.ms/38xdyLB\xc2\xa0",233,122,21,twitter.com/nytimes/status/1228781026924728321
47,nr,"A Chinese tourist has died in France of the coronavirus, the French health minister said on Saturday, becoming the outbreak\xe2\x80\x99s first fatality in Europe and outside Asia  https://nyti.ms/2SvQzuP\xc2\xa0",191,117,21,twitter.com/nytimes/status/1228755897691844610
48,nr,"President Xi Jinping began fighting the coronavirus epidemic earlier than previously known, a newly published speech indicates, underscoring that he was concerned about the virus even while officials at its epicenter were downplaying its dangers  https://nyti.ms/2wkqlml\xc2\xa0",161,77,44,twitter.com/nytimes/status/1228740781088944129
49,nr,"A husband and wife, both in their 60s,\xc2\xa0tested positive for the coronavirus in Japan this week after returning from a 10-day vacation in Hawaii, health officials said  https://nyti.ms/31XazJF\xc2\xa0",553,357,48,twitter.com/nytimes/status/1228735765691142144
50,nr,"Russia's Radio Sputnik broadcasts in Kansas City and elsewhere to sow doubt about Western institutions. Its American hosts find much to dislike in the U.S., from the reporting on the coronavirus to President Trump's impeachment.  https://nyti.ms/39qgEB4\xc2\xa0 https://nyti.ms/39CFQo5\xc2\xa0",186,136,53,twitter.com/nytimes/status/1228680404435177472
51,nr,Breaking News: France announced the first coronavirus death outside Asia. An 80-year-old Chinese tourist died at a hospital in Paris on Friday.\n https://nyti.ms/38yw464\xc2\xa0,325,242,30,twitter.com/nytimes/status/1228628527467188224
52,nr,Breaking News: The U.S. will evacuate Americans from a cruise ship that has been quarantined in Japan for over a week because of coronavirus fears.\n https://nyti.ms/3bE6sH1\xc2\xa0,445,249,62,twitter.com/nytimes/status/1228575724392583172
53,nr,"Chinese authorities tightened their coronavirus quarantine rules for Beijing on Friday, saying that all residents returning from outside the capital city would be required to isolate themselves for 14 days  https://nyti.ms/2OW9jBs\xc2\xa0",118,57,20,twitter.com/nytimes/status/1228499202168250369
54,nr,"Nicholas Hulbert, a British film director, was shooting in Italy for his latest project, a movie about the Plague, when he got a text from his mother: \xe2\x80\x9cI sent you an email about the coronavirus, which I really think you need to consider.\xe2\x80\x9d  https://nyti.ms/2VEvbFx\xc2\xa0",257,77,9,twitter.com/nytimes/status/1234221904388640771
55,nr,\xe2\x80\x94Officials in Washington State confirmed 2 more cases of coronavirus\n\xe2\x80\x94The total number of cases in the U.S. has reached 73\n\xe2\x80\x94The Dominican Republic has confirmed its first case of coronavirus\n\nFollow the latest on the coronavirus here.  https://nyti.ms/3acJp4u\xc2\xa0,499,374,57,twitter.com/nytimes/status/1234203471647301633
56,nr,The measures recommended by the CDC to slow a coronavirus outbreak in the U.S. may be a luxury that some workers can\xe2\x80\x99t afford  https://nyti.ms/3coH5Js\xc2\xa0,976,495,98,twitter.com/nytimes/status/1234196727986606082
57,nr,Researchers who have examined the genomes of 2 coronavirus infections in Washington State say the similarities between the cases suggest that the virus may have been spreading in the state for weeks  https://nyti.ms/2PCp6pm\xc2\xa0,639,427,54,twitter.com/nytimes/status/1234191708935610370
58,nr,"Rhode Island on Sunday reported its first coronavirus case, a person in his or her 40s who had traveled to Italy, the center of an outbreak in Europe  https://nyti.ms/2TwTEtG\xc2\xa0",1134,903,147,twitter.com/nytimes/status/1234171621696557057
59,nr,How does the coronavirus compare with the flu? Here\xe2\x80\x99s a close look at the differences.  https://nyti.ms/2PCqcBv\xc2\xa0,525,315,33,twitter.com/nytimes/status/1234171573873016832
60,nr,"The FDA\xc2\xa0announced Saturday\xc2\xa0that testing for the coronavirus would be greatly expanded in the U.S., giving laboratories and hospitals around the country the go-ahead to conduct tests that had until now been severely limited to those analyzed by the CDC  https://nyti.ms/2VvzzGW\xc2\xa0",496,229,46,twitter.com/nytimes/status/1234146399102652416
61,nr,"Hours after officials confirmed the first death in the U.S. from the coronavirus, President Trump moved on Saturday to calm public fears and demonstrate aggressive action against the illness  https://nyti.ms/39e61Se\xc2\xa0",380,105,253,twitter.com/nytimes/status/1234141365371535362
62,nr,Washington State declared a state of emergency over the new coronavirus. The first coronavirus death in the U.S. was confirmed in the state on Saturday and researchers said that the virus may have been spreading there for weeks.  https://nyti.ms/2IblMxs\xc2\xa0,1575,965,87,twitter.com/nytimes/status/1234126255987085313
63,nr,Coronavirus map: Tracking the spread of the outbreak\n https://nyti.ms/32DJcEU\xc2\xa0,590,363,69,twitter.com/nytimes/status/1234010522619727872
64,nr,A father and his 3-year-old daughter are among the dozens of Americans who were flown back from Wuhan and placed in mandatory isolation by the U.S. government out of fears about the coronavirus. Now they face thousands of dollars in medical bills.  https://nyti.ms/2uGHKFf\xc2\xa0,2714,1566,402,twitter.com/nytimes/status/1234000630764707841
65,nr,"The U.S. surgeon general on Saturday urged the public to stop buying masks, warning that it won\xe2\x80\x99t help against the spread of the coronavirus but will take away important resources from health care professionals  https://nyti.ms/3co8snk\xc2\xa0",1421,794,136,twitter.com/nytimes/status/1233986168355803136
66,nr,"The FDA says one drug is now in short supply because of the coronavirus outbreak. Which one? It won't say, and public health advocates are angry.\n https://nyti.ms/2VuCmAd\xc2\xa0",442,279,85,twitter.com/nytimes/status/1233980321705664512
67,nr,Australia has reported its first death from the coronavirus. Follow the latest on the outbreak here.  https://nyti.ms/2I53BcA\xc2\xa0,616,366,40,twitter.com/nytimes/status/1233966799844184064
68,nr,Here\xe2\x80\x99s a close look at the differences between the seasonal flu and the coronavirus  https://nyti.ms/2TbGdkb\xc2\xa0,271,196,22,twitter.com/nytimes/status/1233919924176814080
69,nr,"Japan said on Wednesday that 443 people who had been quarantined on the Diamond Princess cruise ship contaminated by the coronavirus were free to go home to their families, but experts have expressed alarm over the quarantine protocols\n https://nyti.ms/38I0YJl\xc2\xa0",262,155,28,twitter.com/nytimes/status/1230177741707845633
70,nr,The coronavirus outbreak is far less serious in Europe than it is in China. But fear has raised a new social stigma for people and places that have been associated with the outbreak.  https://nyti.ms/2vIeXAm\xc2\xa0,265,103,13,twitter.com/nytimes/status/1230118607755075585
71,nr,"As a volunteer in Wuhan, Anna Liu doesn\xe2\x80\x99t provide transportation, food or face masks, but information. She helps people get treatment and hospital beds at a time when everyone seems to be struggling to make sense of the coronavirus crisis.  https://nyti.ms/37F90kT\xc2\xa0",526,110,16,twitter.com/nytimes/status/1230107287769010176
72,nr,\xe2\x80\x94China revoked the credentials of three Wall Street Journal reporters over an opinion piece about the coronavirus outbreak\n\xe2\x80\x94Trump said Xi is doing \xe2\x80\x9ca very good job\xe2\x80\x9d handling the outbreak\n\xe2\x80\x94Hong Kong reported a second death from the virus\n\nLatest updates:\n https://nyti.ms/2vPsaao\xc2\xa0,161,88,13,twitter.com/nytimes/status/1230095974724448257
73,nr,"The cruise company Carnival serves nearly 11.5 million travelers a year, or roughly 50% of the global cruise market. It's facing a deepening crisis after passengers on two of its ships were found to be infected by the coronavirus.  https://nyti.ms/39O8nH4\xc2\xa0",140,65,11,twitter.com/nytimes/status/1230069577712914433
74,nr,Researchers in Germany presented evidence that people who have the new coronavirus can infect others even when they have no symptoms. Their findings indicated that people may be spreading the disease before they know they are sick.  https://nyti.ms/324RkOA\xc2\xa0,577,363,50,twitter.com/nytimes/status/1230059461559169024
75,nr,"South Korea reported 15 more cases of the new coronavirus, bringing the total number of patients infected with the disease to 46. Ten of those infected were members of the same church.  https://nyti.ms/2uWIc2l\xc2\xa0",113,67,5,twitter.com/nytimes/status/1230044378183454720
76,nr,"Chinese officials hailed recent figures as evidence that the spread of the coronavirus epidemic has slowed, and World Health Organization officials said that China\xe2\x80\x99s strict limits on its people\xe2\x80\x99s movements have helped  https://nyti.ms/2HxNDrj\xc2\xa0",161,65,20,twitter.com/nytimes/status/1230024258899890178
77,nr,"More than 100 Americans cannot return home for at least two more weeks, after having been on a cruise ship in Japan that is a hot spot for the coronavirus  https://nyti.ms/2HDofjW\xc2\xa0",111,45,22,twitter.com/nytimes/status/1229994023626166274
78,nr,"A hospital in Omaha is playing a key role in an international health emergency, after 13 Americans who tested positive or were exposed to the new coronavirus on a contaminated cruise ship in Japan were transported there  https://nyti.ms/39IU1rC\xc2\xa0",226,112,15,twitter.com/nytimes/status/1229963868497154049
79,nr,\xe2\x80\x94Americans from a cruise ship in Japan won\xe2\x80\x99t be allowed home for at least 2 more weeks\n\xe2\x80\x94The economic pain from the coronavirus is continuing to spread\n\xe2\x80\x94More than one-tenth of China\xe2\x80\x99s people are largely confined to their homes\n\nLatest updates:\n https://nyti.ms/328ZDsQ\xc2\xa0,156,76,13,twitter.com/nytimes/status/1229958804781064193
80,nr,"The coronavirus underscores the imbalance in globalization, reports @StevenErlanger. The private sector has become very effective \xe2\x80\x94 but efforts to strengthen global public efforts are attacked by nationalists and populists as infringements on sovereignty https://nyti.ms/2HXaQ6s\xc2\xa0",130,65,17,twitter.com/nytimes/status/1232422532416000001
81,nr,"While the U.S. tests an experimental drug for the coronavirus, the FDA is also closely watching for potential disruptions in the supply of 20 unrelated drugs that are either made in China or contain ingredients from China\n https://nyti.ms/2HRrKDs\xc2\xa0",112,67,6,twitter.com/nytimes/status/1232412487766749184
82,nr,"Breaking News: For weeks, investors shrugged off the risks of the coronavirus. Now, after 2 straight market plunges, the S&P 500 is firmly in the red for 2020.\n https://nyti.ms/37UCwDj\xc2\xa0",301,169,33,twitter.com/nytimes/status/1232410695272161287
83,nr,"U.S. markets fell sharply, with the S&P 500 down about 3%, after a warning that a coronavirus outbreak could spread to America\n https://nyti.ms/2PpiXNj\xc2\xa0",293,140,34,twitter.com/nytimes/status/1232388767132024832
84,nr,Lawmakers from both parties in the U.S. have made it clear they were unconvinced the Trump administration is prepared for the coronavirus outbreak the CDC is forecasting\n https://nyti.ms/2TheiOm\xc2\xa0,735,313,59,twitter.com/nytimes/status/1232379785650851842
85,nr,"Spanish authorities have locked down about 1,000 guests in a major resort in the Canary Islands after an Italian doctor and his partner tested positive for coronavirus\n https://nyti.ms/2w9A4eX\xc2\xa0",226,164,15,twitter.com/nytimes/status/1232374742440665089
86,nr,Breaking News: The CDC warned Americans to begin preparing for the possibility of a coronavirus outbreak: \xe2\x80\x9cThis might be bad.\xe2\x80\x9d\n https://nyti.ms/2PEhanJ\xc2\xa0,11878,8527,778,twitter.com/nytimes/status/1232358387142287362
87,nr,"Iran's deputy health minister, who was spearheading the country's efforts to contain the coronavirus, has contracted the illness\n https://nyti.ms/38YQ2qN\xc2\xa0",250,131,21,twitter.com/nytimes/status/1232349577547853824
88,nr,A Europa League soccer match \xe2\x80\x94 one of Europe's biggest tournaments \xe2\x80\x94 will play without any spectators in Milan as the coronavirus outbreak continues\n https://nyti.ms/2PpcWA3\xc2\xa0,186,68,14,twitter.com/nytimes/status/1232339505203601409
89,nr,"A federal judge ruled that the city of Costa Mesa, Calif., does not have to house coronavirus patients, at least for now. Local officials had argued that the chosen facility posed safety risks.  https://nyti.ms/2v6hbtz\xc2\xa0",157,54,18,twitter.com/nytimes/status/1232314349273976832
90,nr,"""I worry every day about whether my child will die in my belly.""\n\nIn China, pregnant women describe a lonely, sometimes terrifying experience navigating the overburdened health care system during the coronavirus outbreak.  https://nyti.ms/37UMNj6\xc2\xa0",347,120,21,twitter.com/nytimes/status/1232263995828195332
91,nr,"""Life has to go on.""\n\nDaegu, the center of South Korea\xe2\x80\x99s coronavirus outbreak, is trying a less rigid approach: aggressively warning residents to take precautions while staying open for business.  https://nyti.ms/38Yq8Ub\xc2\xa0",184,106,18,twitter.com/nytimes/status/1232258970221449221
92,nr,"A hotel on the Spanish resort island of Tenerife was placed under a police cordon after an Italian guest tested positive for the new coronavirus, the authorities said  https://nyti.ms/2HX52tm\xc2\xa0",187,108,13,twitter.com/nytimes/status/1232248896002326531
93,nr,"Health care workers in China are still coming down with the coronavirus despite official pledges to protect them. More than 3,000 health care workers have been infected.  https://nyti.ms/3c4WCxY\xc2\xa0",349,213,23,twitter.com/nytimes/status/1232202340817604609
94,nr,"\xe2\x80\x94In Iran, a spike in coronavirus infections has prompted fears of an outbreak throughout the Middle East\n\xe2\x80\x94In Italy, officials are struggling to prevent the epidemic from paralyzing Milan\n\xe2\x80\x94In New York, London, and Tokyo, financial markets are reeling\n \n  https://nyti.ms/2TpMfwv\xc2\xa0",427,253,27,twitter.com/nytimes/status/1232182213078396928
95,nr,Maps: We have tracked the spread of the coronavirus outbreak\n https://nyti.ms/2SUcg7O\xc2\xa0,305,204,35,twitter.com/nytimes/status/1232158298641752069
96,nr,"The emergence of Italy, Iran, and South Korea as new hubs of the outbreak underscored the lack of a coordinated global strategy to combat the coronavirus  https://nyti.ms/2HSqTCq\xc2\xa0",190,125,28,twitter.com/nytimes/status/1232123066244902912
97,nr,Breaking News: Stocks on Wall Street suffered their sharpest drop in nearly 14 months as investors panicked about the impact of the spreading coronavirus  https://nyti.ms/2T9rqoI\xc2\xa0,656,448,117,twitter.com/nytimes/status/1232048935243583489
98,nr,The Trump administration is moving to request emergency funding to aid its coronavirus response efforts. The request will come as the White House is also proposing cuts to health programs across the government.  https://nyti.ms/381kbVu\xc2\xa0,257,192,36,twitter.com/nytimes/status/1232037496210575366
99,nr,\xe2\x80\x9cThank you for the kindness. Your tweets give me strength.\xe2\x80\x9d How the coronavirus quarantines of 2020 are unlike any other in human history.  https://nyti.ms/324wHSs\xc2\xa0,161,45,7,twitter.com/nytimes/status/1229878267408244737
100,nr,"The coronavirus outbreak has exposed the jarring absence in China of a vibrant civil society \xe2\x80\x94 the groups that bring people together without involving the government, writes @liyuan6 https://nyti.ms/2P1uUbt\xc2\xa0",757,717,33,twitter.com/nytimes/status/1229850599644180480
101,nr,"About 500 people will be released on Wednesday from a cruise ship that's been quarantined for weeks over coronavirus fears off Yokohama, Japan, the country's health ministry said on Tuesday  https://nyti.ms/2SCItAm\xc2\xa0",114,71,11,twitter.com/nytimes/status/1229812847762444291
102,nr,Our analysis found that at least 150 million people in China \xe2\x80\x94 over 10 percent of the country\xe2\x80\x99s population \xe2\x80\x94 are facing government restrictions about how often they can leave their homes because of the coronavirus.  https://nyti.ms/3bLHwxi\xc2\xa0,123,93,14,twitter.com/nytimes/status/1229797797865644033
103,nr,"Walmart said that while it continued to monitor the coronavirus outbreak in China and around the world, the company was not lowering its sales forecast for this year  https://nyti.ms/2SBjY6Q\xc2\xa0",95,33,7,twitter.com/nytimes/status/1229772569261334535
104,nr,"In Opinion\n\n""However much we would like to know all the relevant facts about the coronavirus, we don\xe2\x80\x99t know them right now, and we should accept the discomfort of that uncertainty,"" writes John Allen Paulos.  https://nyti.ms/3267Qhp\xc2\xa0",167,67,20,twitter.com/nytimes/status/1229727271029743618
105,nr,"Apple cut its sales forecast because of the coronavirus, as production and demand for its products have been slowed in China by the outbreak  https://nyti.ms/3bRgpRJ\xc2\xa0",144,59,22,twitter.com/nytimes/status/1229722277975072769
106,nr,"\xe2\x80\x9cIt\xe2\x80\x99s like World War III,\xe2\x80\x9d said May Tang, an employee at a pharmacy in Hong Kong.\n\nAs panic over the coronavirus outbreak has spread, residents have taken to waiting in line for hours to buy face masks, disinfectant and even toilet paper.  https://nyti.ms/2HyvF7Z\xc2\xa0",274,124,25,twitter.com/nytimes/status/1229699429281796096
107,nr,"The Tokyo Marathon, one of the world\xe2\x80\x99s largest marathons, with an estimated 38,000 runners, has been restricted to about 200 elite participants because of new cases of the coronavirus confirmed in Japan  https://nyti.ms/37zjuCt\xc2\xa0",200,101,12,twitter.com/nytimes/status/1229684503842557952
108,nr,"Japan\xe2\x80\x99s economy has already been staggered by a devastating typhoon and a wallet-shutting tax increase. Now, the coronavirus threatens to knock Japan into a full-blown recession.  https://nyti.ms/2uKrMu0\xc2\xa0",258,184,16,twitter.com/nytimes/status/1229658078494232576
109,nr,"In Opinion\n\n""China\xe2\x80\x99s mishandling of the coronavirus outbreak has imperiled itself and the world because it is a land of 21st-century science and 19th-century politics,"" writes Nicholas Kristof.  https://nyti.ms/327xkuz\xc2\xa0",1111,426,61,twitter.com/nytimes/status/1229654289796210689
