,type,text,url
57,r,"We see it, someone is lining the GOP Senators pockets sufficiently to make it worth Murder in the library with the candlestick!

I think it's the Chinese. They have access to our markets & there's a lot of insider trading going on.

I think Coronavirus is a US bioweapon",twitter.com/namirph/status/1230275131030855680
58,r,"""Creemos que es una zoonosis. No creemos que se haya fabricado en ningún laboratorio en ningún lugar "", dijo Richard BRENNAN. 
@WHO se unió a los EE. UU. Al decir que no hay evidencia que respalde las teorías de que el #Coronavirus es un #BioWeapon diseñado por #China #COVID19pic.twitter.com/gd628Ay9Pg",twitter.com/soloveonews/status/1230274440522616834
59,r,"One of the conspiracy theories going around is that this coronavirus is a bioweapon to fight the issue of over population. If that's the case, then doesn't sound smart since the survivors may create a baby boom. Over polulating again.",twitter.com/ryanfiredragon/status/1230273905929179139
60,r,"“We believe it’s a zoonosis. We don’t believe it’s been fabricated in any laboratory anywhere,” said Richard Brennan. 

The @WHO joined the US in saying there’s no evidence to support theories that the #Coronavirus is a #BioWeapon engineered by #China.https://www.theepochtimes.com/who-joins-us-in-saying-theres-no-evidence-new-virus-is-a-biological-weapon_3243210.html …",twitter.com/EpochTimesChina/status/1230270840962502657
61,r,"Coronavirus 'bioweapon theory' is bogus, say 27 experts in Lancet https://news.cgtn.com/news/2020-02-19/Lancet-releases-statement-supporting-Chinese-scientists--Od24bUkvOE/index.html … via @cgtnofficial",twitter.com/SWNIntertrade/status/1230270104056795136
62,r,"US bioweapon plans, deployment in 2019  

Is Novel Corona Virus Reservoir BioWar Syringe or Bat Soup? 

http://johnsonandtoxin.com/biowar_or_bat_soup.shtml …",twitter.com/REALITYofJNJ/status/1230269734102470656
63,r,"Before the first publicly reported case of novel coronavirus, the director of the bioweapon lab in Wuhan, China, most likely the center of the outbreak of the virus, released an order barring anyone from discussing the release of the pathogen. https://buff.ly/37C3U97",twitter.com/Tsarizm_com/status/1230268327878184960
64,r,So I’ll preface this by saying this is not mainstream news and likely will never be but #coronavirus or #covid19 was a planned bioweapon fair warning this article is very long but it is from a biowarfare research lab and a study done back in 2015 in which the results were given,twitter.com/JackOfClubs007/status/1230266993242062848
65,r,Gravitas: Is Wuhan Coronavirus a bioweapon? https://youtu.be/0u9BFMzwRT0  via @YouTube,twitter.com/CovtofDominion/status/1230263254343135233
66,r,Is #XiJinping playing with #bioweapon experiments? #borisjohnson #coronavirus https://twitter.com/SenTomCotton/status/1229915369852129280 …,twitter.com/mikee52000/status/1230263171967016963
67,r,Altamente letal #bioweapon #armabiologica #coronavirus https://twitter.com/HEKAMIAH3/status/1230258485847371776 …,twitter.com/amadeo_quinones/status/1230261840879419394
68,r,"Yeah guys, It's totally NOT an accidentally released bioweapon. It's just a flu bro. Sleep, consume, don't worry. #Coronavirus #CoronaVirusFacts #CoronaVirusCoverUphttps://twitter.com/HarmlessYardDog/status/1230256512158838784 …",twitter.com/NkostaNostra_2/status/1230259307624771585
69,r,Is the Coronavirus a Bioweapon? https://www.theepochtimes.com/is-the-coronavirus-a-bioweapon_3231180.html … via @epochtimes,twitter.com/AKhazab/status/1230253774452797440
70,r,"#ScrewChina with their #Bioweapon  As the deadly #coronavirus began to spread, Beijing wasted the most critical resource to fight it: trust. https://foreignpolicy.com/2020/02/15/coronavirus-xi-jinping-chinas-incompetence-endangered-the-world/ …",twitter.com/Lainer/status/1230249666026987520
71,r,Yeah bioweapon corona virus just begun??? Fuck the state uk is high alert for bioweaponry?,twitter.com/Clareclaro1/status/1230245228025647104
72,r,"Corona virus is a literal joke at this point. It's not deadly, it was never an upgraded bioweapon, it's just a virus that can give you a flu.",twitter.com/CuntBartDragon/status/1230240539439747074
73,r,This #coronavirus dingy seems to me more and more a failed bioweapon turning into the fear porn.,twitter.com/joylovesteem/status/1230236001139929088
74,r,"#Coronavirus #BioWeapon
SMOKING GUN: China Bought Weaponized Wuhan Virus From U.S. https://banned.video/watch?id=5e4d9a96ceaa970024aa6fbf …",twitter.com/Hats4Batz/status/1230231272779374598
75,r,"Before the first publicly reported case of novel coronavirus, the director of the bioweapon lab in Wuhan, China, most likely the center of the outbreak of the virus, released an order barring anyone from discussing the release of the pathogen. https://creativedestructionmedia.com/news/asia/2020/02/17/virus-update-chinese-bioweapon-lab-in-wuhan-issued-gag-order-on-releasing-information-on-novel-coronavirus-two-weeks-before-first-reported-case/ …",twitter.com/CreatDestMedia/status/1230230575874813957
76,r,I wonder whether the coronavirus is a bioweapon.,twitter.com/ULTGrowth/status/1233540200678207489
77,r,China literally has massive bioweapon centers. This version of the coronavirus has been desribed as much more complex than any of the other 4 that exist right now and scientists working with it say it is very intelligent. Why is nobody talking about this,twitter.com/dynamiksmade/status/1233539607465095168
78,r,"Thats a lie!!

They are all going to #Antarctica to hide out from the #Coronavirus human depopulation #bioweapon for #NewWorldOrder.

#Freemasons your leaders have used you as pawns throughout generations to establish a world ready for #Lucifer.pic.twitter.com/FMwtIRRSM3",twitter.com/Afro_Crypto/status/1233538188767043586
79,r,"They say coronavirus leaked from a wuhan lab while being developed as a mass bioweapon. Time for USA to prepare for the inevitable with its quad partners - Japan, India, Australia. Nice if US shares some critical defence tech with  India, Japan bringing them at par with China.",twitter.com/MemoryCollecti2/status/1233537444412301316
80,r,"Writer Dean Koontz predicted the 2020 coronavirus outbreak in his 1981 thriller ‘The Eyes of Darkness  

Wake up people it's all planned. 
Coronavirus is a bioweapon.

#coronavirusuk
#Covid_19
#China
#Corona #CoronavirusOutbreakpic.twitter.com/xTu3FshNpF",twitter.com/FEARLESS0777/status/1233535043886309380
81,r,Could the coronavirus have been deliberately released from China in retaliation for Trump's trade negotiations? I'm beginning to think this is a bioweapon warfare that we are dealing with.,twitter.com/lklfaith/status/1233534277737951232
82,r,"Coronavirus Outbreak IS SERIOUS! It Is NOT The Flu, It Is A Bioweapon! Confirmed!! https://darrellhines.wordpress.com/2020/02/29/coronavirus-outbreak-is-serious-it-is-not-the-flu-it-is-a-bioweapon-confirmed/ …pic.twitter.com/eyT5Tfn3hk",twitter.com/Darrellmhines/status/1233532931060137985
83,r,"Scientists Confirm Coronavirus Is Race Targeting Bioweapon
https://www.brighteon.com/26bc63a2-a2ed-4af2-a0e3-747ca8455792 …",twitter.com/III_Means_Free/status/1233532205361762306
84,r,There's a #BioWeapon on the loose; good time to have a political rally. The trusting idiots are not going to make it through this. Trump can protect you from this. Wear your MAGA cap in the ICU. #CoronaVirus. And stay away from #MardiGras2020 too. #GoodRiddance,twitter.com/databaseDNA/status/1233530786969722885
85,r,"Hola, the unroll you asked for: Thread by @SamParkerSenate: 1. Wuhan Coronavirus is an engineered offensive bioweapon. You're not being told this by… https://threadreaderapp.com/thread/1226311942354042880.html …. See you soon.",twitter.com/threadreaderapp/status/1233524297798430722
86,r,Anyone else other than me think it's something way bigger and worse than coronavirus it's probably some bioweapon they used on purpose,twitter.com/Joshua_CT420/status/1233522492175720448
87,r,Coronavirus Patent Granted To Bill Gates Funded Institute In 2018 Gives More Credence To The Theory It Might Be A Bioweapon - The Daily Coin https://thedailycoin.org/2020/01/23/coronavirus-patent-granted-to-bill-gates-funded-institute-in-2018-gives-more-credence-to-the-theory-it-might-be-a-bioweapon/ …,twitter.com/CandyGirlCLW/status/1233522399078998016
88,r,"Behind the scenes of The #COVID19  drama. Thank you @GreatGameIndia
Coronavirus Bioweapon – How China Stole Coronavirus From Canada And Weaponized It https://greatgameindia.com/coronavirus-bioweapon/ …",twitter.com/PrapancaMAnudan/status/1233520679879938048
89,r,"#Coronavirus #Vaccine Could Be Available in 90 Days - #Israel-i Scientists

https://sputniknews.com/society/202002281078433432-coronavirus-vaccine-could-be-available-in-90-days---israeli-scientists/ … via @SputnikInt
#QAnon #DrainTheSwamp
#Zionistan #BioWeapon",twitter.com/sormiou12/status/1233518999935311872
90,r,Spooky prediction in 1981! #coronavirus #BioWeapon #COVIDー19https://twitter.com/qazi_saleh/status/1233223128500834305 …,twitter.com/rensayyed/status/1233517352794415109
91,r,Breaking News Corona Virus was Intentional Released by CCP (These Evil) must Terminate now...#coronavirus #ChinaCoronaVirus #WuhanVirus #VIRUS_CORONA #chinabioweapon #CoronaVirusUpdates #PencePandemic #bioweapon #TrumpLiesAboutCoronavirus #Vietnam #WuhanPneumonia #viruschinapic.twitter.com/fET4jEm9Cu,twitter.com/vietbatman/status/1233514902943342593
92,r,"You can contain a virus, you can contain a #BioWeapon--but you have to be able to recognize when you are under attack! There will be countries that are not decimated by their own stupidity.  #CoronaVirus",twitter.com/databaseDNA/status/1233513503933243393
93,r,"Coronavirus (natural or bioweapon) will only infect those resonating at a low frequency.

The earth is moving to a higher dimension and purging itself of low vibrational people. Those who make it through will be the new human race, the meek to inherit the earth. https://twitter.com/newscientist/status/1233511076689522694 …",twitter.com/asrawaspossible/status/1233511866812465158
94,r,"on Feb. 16, Sen. Tom Cotton, R-Ark., suggested that the coronavirus may have come from a virology laboratory in Wuhan, China, where the outbreak emerged. Others went further by raising the possibility that the virus was a leaked bioweapon https://www.nbcnews.com/science/science-news/where-did-new-coronavirus-come-past-outbreaks-provide-hints-n1144521 …",twitter.com/JettaGarcia/status/1233510981806051333
95,r,"@CIA The coronavirus is allegedly a bioweapon. An unknown individual or perhaps individual(s) allegedly covertly supplanted the bioweapon in an unsuspected location. This is a sort of global holocaust. The question is, whose idea is this and who is involved in the conspiracy.",twitter.com/famous_militia/status/1231367866194087937
96,r,#BreakingNews : Wuhan #Coronavirus is an engineered offensive #bioweapon. China accidentally bio-nuked itself. Our own western governments have zero desire for us to fully understand the gravity of this situation pic.twitter.com/NrbExHKyeC,twitter.com/TonerBuyer/status/1231363185065639936
97,r,Coronavirus Bioweapon: Why the Conspiracy Theory Persists https://www.dailydot.com/layer8/coronavirus-bioweapon-conspiracy-theory/ …,twitter.com/ShwanSharey/status/1231359770214518786
98,r,"@DrTedros , What measures are you taking on #coronavirus ? #Ebola Outbreak is much in control So Please Avoid Such Useless Posts..When Ru going to Declare #coronavirus as Level 6 Pandemic & a #BioWeapon ?Outbreak is Now in South Korea, Italy & Iran? Do Something or Lockdown @WHO",twitter.com/NimeshSapkal/status/1231359030221668353
99,r,Is #coronavirus a bioweapon?,twitter.com/IoanaGomoi/status/1231352564756578304
100,r,"Full transcript of “smoking gun” bombshell interview: Prof. Frances Boyle exposes the bioweapons origins of the CoVid-19 coronavirus. Developed in North Carolina and sold to the Chinese as Bioweapon!

#CoronaVirus #COVID19https://threadreaderapp.com/thread/1231348171621588992.html …",twitter.com/17EmeraldRoses/status/1231352293762580486
101,r,"Is the media asleep on this #Coronavirus? -
Or don’t they do the #ActualNews anymore? 
-Or did they ever do the #ActualNews to begin with? 
I’ve heard this #Bioweapon is a #Pandemic? 
When is media going to prioritize it-and not public division for purpose of politics?",twitter.com/yauzzie/status/1231351394038272000
102,r,Senator Tom Cotton Thinks Coronavirus is a Bioweapon; China Mounts Feeble Response https://www.ccn.com/tom-cotton-thinks-coronavirus-bioweapon-china-mounts-feeble-response/ … via @ccnmarkets,twitter.com/BritCapitalist/status/1231350554280046597
103,r,"How did the Corona virus from bats become so easily transferred to humans and when ? This does not negate that the current covid 19 is a bioweapon. But if the case We have researchers a
n governments creating dangerous pathogens and now there could be multiple outbreaks naturally",twitter.com/chrislibertynow/status/1231349419448160257
104,r,"Trump furious Americans infected with coronavirus flew back to US without his permission: report https://fxn.ws/2Ta9ESt  #FoxNews when they have a bioweapon, most likely engineered to thin the population out, what the hell else are they suppose to do w/ it?!?!",twitter.com/belgrade1861/status/1231347771665334272
105,r,Scientists Confirm Coronavirus Is Race Targeting Bioweapon https://www.pscp.tv/elitmik/1lDxLgbelewJm …,twitter.com/IWTruthSeeker17/status/1231347556220841984
106,r,Scientists Confirm Coronavirus Is Race Targeting Bioweapon https://banned.video/watch?id=5e505e0b8f220b001e584ab9 …,twitter.com/tootietopcat/status/1231347333796749313
107,r,"Surely the US would never unleash a bioweapon on China

US Army Conducted 239 Secret, Open-Air Germ Warfare Tests https://washingtonpost.com/archive/politics/1977/03/09/army-conducted-239-secret-open-air-germ-warfare-tests/b17e5ee7-3006-4152-acf3-0ad163e17a22/ …

CIA spiked French bread with LSD
https://telegraph.co.uk/news/worldnews/europe/france/7415082/French-bread-spiked-with-LSD-in-CIA-experiment.html …

U.S. Infected Guatemalans With Syphilis 
https://www.npr.org/templates/story/story.php?storyId=130272412 …
#coronavirus",twitter.com/taylortylerr/status/1231347247851290625
108,r,"How much bad karma do you accumulate for being someone who signed off on releasing a bioweapon like this coronavirus into the public?

It's a real life shattering of The Moral Event Horizon.

A point of no return, of no redemption, of utter and permanent damnation.",twitter.com/SammyMaudlin/status/1231347095598247937
109,r,Scientists Confirm Corona virus Is Race Targeting Bioweapon https://youtu.be/bD0ouNfC_aU  via @YouTube,twitter.com/esther_gala/status/1231346710976266240
110,r,"CuriousGiven the recent ‘accidental’ release of bioweapon coronavirus, when are we going to take aggressive measures to Stop & hold accountable those nations/donors/researchers who carelessly disregard the welfare of the global population by Creating  BioWeapons? GunControl?",twitter.com/RKFollowsChrist/status/1231345804968747009
111,r,http://bit.ly/2uyFSOJ  #Coronavirus #COVID19 #ArrowePark #Wirral #quarantine #Italia #Italy #Paris #London #France #EU #UK #USA #America #HongKong #Singapore #Wuhan #China #Hubei #bioweapon #bbcnews #LBC #skynews #virology #DiamondPrincess #CBSnews #CNNnews #news,twitter.com/2017Veritas/status/1231341778441162752
112,r,"My conspiracy theory for the day:  The Chinese scientists in one of the Wuhan biolabs released at least one of their human lab rats into the public to test the effectiveness of the coronavirus as a bioweapon.  After all,  China has more than enough people to spare.",twitter.com/wef46z/status/1231340617516617729
